metric,dimension,pearson_r,pearson_p,spearman_r,spearman_p
QAFactEval,relevance,-0.4727889863,0.1675988489,-0.4303030303,0.2144923325
QAFactEval,fluency,-0.4102935929,0.2389225797,-0.1636363636,0.6514773428
QAFactEval,coherence,-0.2229073296,0.5359046537,-0.1757575758,0.6271883448
QAFactEval,likert_consistency,-0.4509338326,0.1908748581,-0.1757575758,0.6271883448
QAFactEval,aggregate,-0.4800503839,0.1602613342,-0.1515151515,0.676065176
ROUGE-1,relevance,-0.7703767925,0.009121660814,-0.7939393939,0.006099923314
ROUGE-1,fluency,-0.3569141973,0.3113368821,-0.3575757576,0.3103760917
ROUGE-1,coherence,-0.5973447713,0.06822200586,-0.6484848485,0.04254012768
ROUGE-1,likert_consistency,-0.730569133,0.01640562006,-0.6727272727,0.03304122255
ROUGE-1,aggregate,-0.7315337782,0.01619268165,-0.7454545455,0.01333014632
ROUGE-2,relevance,-0.7632994507,0.01020419923,-0.7090909091,0.02166592337
ROUGE-2,fluency,-0.5220160659,0.1216855211,-0.3454545455,0.3282265115
ROUGE-2,coherence,-0.61679659,0.05750574401,-0.6121212121,0.05997214248
ROUGE-2,likert_consistency,-0.8017683795,0.005277637338,-0.6242424242,0.05371776722
ROUGE-2,aggregate,-0.8119342315,0.004331961898,-0.6242424242,0.05371776722
ROUGE-L,relevance,-0.6058494964,0.06338862332,-0.5757575758,0.08155281477
ROUGE-L,fluency,-0.5075880874,0.1342166912,-0.5272727273,0.1173080656
ROUGE-L,coherence,-0.5876684136,0.07400674379,-0.6484848485,0.04254012768
ROUGE-L,likert_consistency,-0.7447637244,0.01346314419,-0.6727272727,0.03304122255
ROUGE-L,aggregate,-0.732508809,0.01597941265,-0.7090909091,0.02166592337
ROUGE-Lsum,relevance,-0.6058494964,0.06338862332,-0.5757575758,0.08155281477
ROUGE-Lsum,fluency,-0.5075880874,0.1342166912,-0.5272727273,0.1173080656
ROUGE-Lsum,coherence,-0.5876684136,0.07400674379,-0.6484848485,0.04254012768
ROUGE-Lsum,likert_consistency,-0.7447637244,0.01346314419,-0.6727272727,0.03304122255
