metric,dimension,pearson_r,pearson_p,spearman_r,spearman_p
ChrF++,fluency,0.31485775533372584,0.37556280879707676,0.3939393939393939,0.25999776683488757
ChrF++,coherence,0.36613776110491053,0.2980827872399415,0.34545454545454546,0.32822651147136733
ChrF++,likert_consistency,-0.19311855445206771,0.5929588040226665,0.06666666666666665,0.8548130882487426
ChrF++,aggregate,0.22071804003882797,0.5400210498158354,0.33333333333333326,0.34659350708733405
FactCC,relevance,0.5968705706768608,0.0684983688041393,0.7234075969792768,0.018047748354494214
FactCC,fluency,0.45403547791433196,0.18746242789871836,0.6363636363636362,0.04791172612997547
FactCC,coherence,0.3462490347333017,0.32704058913624245,0.406060606060606,0.24428229408662638
FactCC,likert_consistency,0.4730724424124496,0.16730872464816893,0.4666666666666666,0.17393859716506632
FactCC,aggregate,0.6484807786240947,0.042541859974391666,0.7333333333333332,0.01580059625057158
FEQA,relevance,-0.3489648865751929,0.3230034713687331,-0.2857156055296304,0.42356778382654603
FEQA,fluency,-0.10402694966610401,0.7748876529160912,0.006060606060606061,0.9867429111949892
FEQA,coherence,0.004659489988078597,0.9898075869389198,0.18787878787878787,0.603217610029209
FEQA,likert_consistency,0.17564933978848624,0.6274038528234261,0.04242424242424241,0.907363817812816
FEQA,aggregate,-0.07025247985957542,0.8470789175815715,0.05454545454545454,0.8810361811618526
METEOR,relevance,0.26196667376849486,0.4646816335017563,0.2978737164032316,0.4032038726329136
METEOR,fluency,0.2167692305133358,0.5474774741324298,0.35757575757575755,0.3103760917056799
METEOR,coherence,0.2637741758829093,0.4614920461923637,0.32121212121212117,0.3654683104386702
METEOR,likert_consistency,-0.21361701436267647,0.5534586620811225,-0.006060606060606061,0.9867429111949892
METEOR,aggregate,0.13821689621753144,0.7033606905079155,0.2727272727272727,0.44583834154275137
MoverScore,relevance,0.06661417980873524,0.8549263803718085,-0.08510677611520903,0.815171544541529
MoverScore,fluency,0.06199730086323334,0.8649009777130815,0.11515151515151514,0.7514196523258483
MoverScore,coherence,0.2310320802656915,0.5207396244469191,0.309090909090909,0.3848412302612835
MoverScore,likert_consistency,-0.16685362796913486,0.645000511072943,-0.2121212121212121,0.5563057751029299
MoverScore,aggregate,0.026680311756974797,0.9416783454816895,0.0303030303030303,0.9337729580941466
NIST,relevance,0.21066521696579085,0.5590825759592465,0.042553388057604516,0.9070828390046616
NIST,fluency,0.1176747873132495,0.7461213826836086,0.1515151515151515,0.6760651759978538
NIST,coherence,0.22062960549557756,0.5401875929313195,0.2121212121212121,0.5563057751029299
NIST,likert_consistency,-0.23520847403110734,0.5130137785717593,-0.06666666666666665,0.8548130882487426
NIST,aggregate,0.061172569424147734,0.8666846279382351,0.09090909090909088,0.8027717312071619
NUBIA,relevance,-0.06888280822857704,0.8500317819876476,-0.24316221747202585,0.49843371099777956
NUBIA,fluency,-0.12442115893030029,0.7320031051647283,-0.38181818181818183,0.27625533338543595
NUBIA,coherence,-0.36165697144750747,0.3044834993465374,-0.5515151515151515,0.09840117666963498
NUBIA,likert_consistency,-0.2771500882346,0.4381958064291648,-0.2606060606060606,0.4670890543863402
NUBIA,aggregate,-0.2722206441641965,0.4467176273271073,-0.5757575757575757,0.08155281477260236
Prism,relevance,-0.5589127758514792,0.0930448022062156,-0.6200636545536659,0.05582263340222192
Prism,fluency,-0.272037871641719,0.4470350335783737,-0.19999999999999998,0.5795840000000001
Prism,coherence,-0.2602639925375661,0.4676951637321595,-0.29696969696969694,0.4047016712701569
Prism,likert_consistency,-0.6024286269355645,0.065304824735213,-0.709090909090909,0.021665923367532435
Prism,aggregate,-0.5933763403563774,0.0705573519719875,-0.7212121212121211,0.018573155089460208
QAFactEval,relevance,0.2508989581830743,0.4844228668148328,0.2796365500928297,0.433925839676929
QAFactEval,fluency,0.6037842453157514,0.06454099747128222,0.4424242424242424,0.20042268671194224
QAFactEval,coherence,0.4775119343449903,0.16280399726652095,0.35757575757575755,0.3103760917056799
QAFactEval,likert_consistency,0.058262825277114114,0.8729818252826683,0.2121212121212121,0.5563057751029299
QAFactEval,aggregate,0.46812568352455475,0.1724150237091755,0.49090909090909085,0.14965567342083677
ROUGE-1,relevance,0.24844124381271793,0.48885509235724844,0.08510677611520903,0.815171544541529
ROUGE-1,fluency,0.19997768495790322,0.5796271882421877,0.16363636363636364,0.6514773427962428
ROUGE-1,coherence,0.2702017764975774,0.45022929800687395,0.24848484848484845,0.48877630451924314
ROUGE-1,likert_consistency,-0.12970475179386048,0.7209961340584448,0.0303030303030303,0.9337729580941466
ROUGE-1,aggregate,0.16399524856585504,0.6507538038952099,0.16363636363636364,0.6514773427962428
ROUGE-2,relevance,0.024931106003275225,0.9454970908704152,-0.08510677611520903,0.815171544541529
ROUGE-2,fluency,0.07075601586058909,0.8459937770782453,0.11515151515151514,0.7514196523258483
ROUGE-2,coherence,0.28787756645696316,0.4199121264254355,0.309090909090909,0.3848412302612835
ROUGE-2,likert_consistency,-0.23723910008237142,0.5092746764509389,-0.2121212121212121,0.5563057751029299
ROUGE-2,aggregate,0.001280229708026193,0.9971995021036791,0.0303030303030303,0.9337729580941466
ROUGE-L,relevance,-0.12353089618658442,0.7338621304513231,-0.3100318272768329,0.3833197978009887
ROUGE-L,fluency,-0.05507348291259245,0.8798914976366305,-0.05454545454545454,0.8810361811618526
ROUGE-L,coherence,0.1586371566532465,0.6615831336278907,0.09090909090909088,0.8027717312071619
ROUGE-L,likert_consistency,-0.3681870536946157,0.29517950694461215,-0.38181818181818183,0.27625533338543595
